Home Team,Home Team Score,Away Team,Away Team Score
Milwaukee Brewers,1,Miami Marlins,5
Pittsburgh Pirates,0,Arizona Diamondbacks,1
Baltimore Orioles,5,Colorado Rockies,6
New York Yankees,5,Philadelphia Phillies,12
Boston Red Sox,2,Los Angeles Dodgers,5
Cincinnati Reds,7,Tampa Bay Rays,2
Detroit Tigers,2,Toronto Blue Jays,6
St. Louis Cardinals,3,San Diego Padres,0
Chicago White Sox,12,Chicago Cubs,5
Texas Rangers,8,Atlanta Braves,3
Houston Astros,3,Athletics,15
Minnesota Twins,1,Washington Nationals,0
Los Angeles Angels,3,Seattle Mariners,2
San Francisco Giants,1,New York Mets,8
Kansas City Royals,PPD,Cleveland Guardians,PPD
